Date,BTC price,ETH price
2020-12-29 21:53:49.713123,"$26,865.82",$726.27
2020-12-29 23:16:02.185363Not requested.Not requested.2020-12-29 23:16:30.943128$26,939.78$725.002020-12-29 23:19:38.413774,"$27,033.14",$725.00
"[datetime.datetime(2020, 12, 29, 23, 23, 45, 221221)]","['$27,033.14']",['$725.16']
2020-12-29 23:24:58.305907,"$27,033.14",$725.16
2020-12-29 23:25:59.277393,"$27,033.14",$725.16
2020-12-29 23:50:46.073186,"$26,990.21",$724.62
2020-12-29 23:51:23.772040,"$26,990.21",$724.62
2020-12-29 23:54:38.811827,"$26,990.21",$727.68
2020-12-29 23:55:48.602531,"$26,990.21",$727.68
2020-12-29 23:57:41.728420,"$26,990.21",$727.68
2020-12-30 13:05:14.109224,Not requested.,Not requested.
2020-12-30 13:17:51.954554,"$27,618.15",$721.40
2020-12-30 13:18:33.138865,"$27,618.15",$723.45
2020-12-30 13:22:02.315182,"$27,682.41",$723.45
2020-12-30 13:40:56.016984,"$27,723.34",$723.61
2020-12-30 13:41:20.587948,"$27,723.34",$723.61
2020-12-30 13:43:09.665229,"$27,723.34",$723.61
2020-12-30 13:44:07.672464,"$27,723.34",$723.61
2020-12-30 13:44:32.641285,"$27,723.34",$723.61
2020-12-30 13:45:34.435310,"$27,723.34",$723.61
2020-12-30 13:48:44.335659,"$27,840.12",$723.61
2020-12-30 14:21:29.042858,"$27,970.20",$726.95
